geneId	symbol	chromosome	Synonyms	type_of_gene
388906	OGFRP1	22	-	pseudo
388907	RPL5P34	22	RPL5_15_1754	pseudo
388910	LINC00207	22	NCRNA00207	ncRNA
388925	PSMC1P10	2	-	pseudo
388931	MFSD2B	2	-	protein-coding
388939	C2orf71	2	RP54	protein-coding
388942	LINC01913	2	-	ncRNA
388946	TMEM247	2	-	protein-coding
388948	LINC01118	2	-	ncRNA
388951	TSPYL6	2	-	protein-coding
388955	LOC388955	2	-	pseudo
388960	C2orf78	2	COG5373|hCG1989538	protein-coding
388962	BOLA3	2	MMDS2	protein-coding
388963	C2orf81	2	hCG40743	protein-coding
388965	FUNDC2P2	2	-	pseudo
388969	C2orf68	2	HCRCN81	protein-coding
388996	LOC388996	2	-	pseudo
389000	SLC9B1P2	2	NHEDC1P2	pseudo
389015	SLC9A4	2	NHE4	protein-coding
389023	DPP10-AS1	2	-	ncRNA
389033	PLAC9P1	2	-	pseudo
389036	ACT	2	-	protein-coding
389043	LINC01120	2	-	ncRNA
389053	HNRNPKP2	2	-	pseudo
389058	SP5	2	-	protein-coding
389072	PLEKHM3	2	DAPR|PLEKHM1L	protein-coding
389073	C2orf80	2	GONDA1	protein-coding
389075	RESP18	2	-	protein-coding
389084	C2orf82	2	ASCL830|UNQ830	protein-coding
389090	OR6B2	2	OR2-1|OR6B2P	protein-coding
389101	RPL23AP43	3	RPL23A_16_360	pseudo
389112	RPS27P4	3	RPS27_5_366	pseudo
389114	ZNF662	3	-	protein-coding
389118	CDHR4	3	CDH29|PRO34300	protein-coding
389119	FAM212A	3	C3orf54|INKA1	protein-coding
389120	ACTBP13	3	-	pseudo
389123	IQCF2	3	-	protein-coding
389124	IQCF5	3	-	protein-coding
389125	MUSTN1	3	MUSTANG	protein-coding
389127	RPS10P10	3	RPS10_4_378	pseudo
389136	VGLL3	3	VGL-3|VGL3	protein-coding
389137	ARMC10P1	3	-	pseudo
389141	RPSAP29	3	RPSA_6_392	pseudo
389144	OR7E130P	3	OST702	pseudo
389151	PRR23B	3	-	protein-coding
389152	PRR23C	3	-	protein-coding
389156	RPL21P39	3	RPL21_14_415	pseudo
389158	PLSCR5	3	-	protein-coding
389160	CPHL1P	3	CPHL1	pseudo
389161	ANKUB1	3	C3orf16	protein-coding
389168	SETP14	3	-	pseudo
389170	LEKR1	3	-	protein-coding
389177	TMEM212	3	-	protein-coding
389179	EEF1A1P8	3	EEF1AL6	pseudo
389180	5-HT3C2	3	-	pseudo
389197	C4orf50	4	-	protein-coding
389199	LOC389199	4	-	protein-coding
389203	SMIM20	4	C4orf52|MITRAC7|PNX	protein-coding
389206	BEND4	4	CCDC4	protein-coding
389207	GRXCR1	4	DFNB25|PPP1R88	protein-coding
389208	TMPRSS11F	4	-	protein-coding
389217	SETP20	4	-	pseudo
389223	EEF1A1P35	4	-	pseudo
389240	NACA3P	4	NACA3	pseudo
389246	VTI1BP2	4	-	pseudo
389247	LOC389247	4	-	ncRNA
389249	LOC389249	4	-	pseudo
389257	LRRC14B	5	-	protein-coding
389273	LINC02213	5	-	ncRNA
389289	ANXA2R	5	AX2R|AXIIR|C5orf39	protein-coding
389293	ISCA1P1	5	ISCA1L	pseudo
389320	TEX43	5	C5orf48|Tseg7	protein-coding
389322	HNRNPKP1	5	-	pseudo
389332	LOC389332	5	-	ncRNA
389333	PROB1	5	C5orf65	protein-coding
389336	C5orf46	5	SSSP1	protein-coding
389337	ARHGEF37	5	-	protein-coding
389342	RPL10P9	5	RPL10_1_637	pseudo
389362	PSMG4	6	C6orf86|PAC4|bA506K6.2	protein-coding
389376	SFTA2	6	GSGL541|SFTPG|SP-G|UNQ541	protein-coding
389383	CLPSL2	6	AAAL3045|C6orf126|UNQ3045|dJ510O8.5	protein-coding
389384	C6orf222	6	-	protein-coding
389386	LAP3P2	6	-	pseudo
389395	HNRNPA3P4	6	-	pseudo
389396	GLYATL3	6	C6orf140|bA28H17.2	protein-coding
389400	GFRAL	6	C6orf144|GRAL|UNQ9356|bA360D14.1	protein-coding
389404	RPL9P18	6	RPL9_6_709	pseudo
389416	BDH2P1	6	DHRS6P1|bA758C21.1	pseudo
389421	LIN28B	6	CSDD2	protein-coding
389422	C6orf183	6	bA487F23.3	protein-coding
389424	PA2G4P5	6	PA2G4L2	pseudo
389428	RPL5P18	6	RPL5_11_750	pseudo
389432	SAMD5	6	dJ875H10.1	protein-coding
389434	IYD	6	C6orf71|DEHAL1|IYD-1|TDH4	protein-coding
389435	RPL27AP6	6	RPL27A_4_770	pseudo
389458	RBAKDN	7	-	ncRNA
389465	LOC389465	7	-	pseudo
389472	RPS26P32	7	RPS26|RPS26_13_792	pseudo
389473	LOC389473	7	-	pseudo
389493	NUPR2	7	NUPR1L	protein-coding
389524	GTF2IRD2B	7	-	protein-coding
389537	OR7E38P	7	OR7E76|OST127	pseudo
389538	MGC72080	7	-	pseudo
389541	LAMTOR4	7	C7orf59	protein-coding
389549	FEZF1	7	FEZ|HH22|ZNF312B	protein-coding
389558	FAM180A	7	UNQ1940	protein-coding
389599	STRADBP1	7	ALS2CR2P1|STLK6ps1	pseudo
389602	LOC389602	7	-	protein-coding
389610	XKR5	8	HARL2754|UNQ2754|XRG5A|XRG5BM	protein-coding
389611	FAM90A3P	8	FAM90A3	pseudo
389616	OR7E125P	8	PJCG6	pseudo
389618	FAM90A6P	8	-	pseudo
389626	OR7E161P	8	-	pseudo
389630	FAM90A15P	8	FAM90A15	pseudo
389631	ZNF705CP	8	ZNF705C	pseudo
389633	FAM90A25P	8	-	pseudo
389634	LINC00937	12	-	ncRNA
389641	LOC389641	8	-	ncRNA
389643	NUGGC	8	C8orf80|HMFN0672|SLIP-GC	protein-coding
389644	RPL5P22	8	RPL5_12_886	pseudo
389649	C8orf86	8	-	protein-coding
389652	ASNSP1	8	ASNSL1	pseudo
389655	RPL29P19	8	RPL29_7_901	pseudo
389658	ALKAL1	8	AUGA|AUGB|FAM150A|UNQ9433	protein-coding
389662	SEPT10P1	8	DKFZP564M1416	pseudo
389668	XKR9	8	XRG9	protein-coding
389672	RPSAP47	8	RPSA_19_921	pseudo
389674	HNRNPA1P4	8	HNRPA1P4	pseudo
389676	C8orf87	8	-	protein-coding
389677	RBM12B	8	MGC:33837	protein-coding
389690	MROH5	8	-	protein-coding
389692	MAFA	8	RIPE3b1|hMafA	protein-coding
389705	LOC389705	9	-	pseudo
389715	FAM205BP	9	C9orf144|C9orf144A|FAM205B	pseudo
389727	FKBP4P2	9	-	pseudo
389730	SPATA31A6	9	FAM75A6	protein-coding
389740	ADGRF5P1	9	GPR116P1	pseudo
389741	GLIDR	9	LINC01172|TCONS_00015562	ncRNA
389747	MEP1AP3	9	-	pseudo
389756	AQP7P2	9	-	pseudo
389761	SPATA31D4	9	FAM75D4	protein-coding
389762	SPATA31D3	9	FAM75D3	protein-coding
389763	SPATA31D1	9	FAM75D1	protein-coding
389765	LOC389765	9	-	pseudo
389766	C9orf153	9	bA507D14.1	protein-coding
389768	LOC389768	9	-	pseudo
389787	TPT1P9	9	-	pseudo
389791	PTGES2-AS1	9	-	ncRNA
389792	IER5L	9	bA247A12.2	protein-coding
389799	CFAP77	9	C9orf171	protein-coding
389812	LCN15	9	PRO6093|UNQ2541	protein-coding
389813	C9orf172	9	-	protein-coding
389816	LRRC26	9	CAPC|bA350O14.10	protein-coding
389827	TMEM8C	9	MYOMAKER|TMEM226	protein-coding
389831	LOC389831	7	-	protein-coding
389834	LOC389834	Un	-	pseudo
389840	MAP3K15	X	ASK3|bA723P2.3	protein-coding
389842	LOC389842	X	-	pseudo
389844	FTH1P19	X	FTHL19	pseudo
389849	GAPDHP65	X	GAPDHL10|GAPDL10	pseudo
389852	SPACA5	X	LYC5|LYZL5|PNPK6288|SLLP-X|SLLP2|UNQ6288	protein-coding
389856	USP27X	X	MRX105|USP22L|USP27	protein-coding
389857	CENPVL1	X	CENPVP1|PRR6L1	pseudo
389860	PAGE2B	X	CT16.5|GAGEE3|PAGE-2B	protein-coding
389866	SERBP1P1	X	SERBP1P	pseudo
389873	SEPHS1P4	X	-	pseudo
389874	ZCCHC13	X	CNBP2|ZNF9L	protein-coding
389884	PA2G4P1	X	PA2G4P	pseudo
389895	LOC389895	X	-	protein-coding
389898	UBE2NL	X	Li174	protein-coding
389901	XRCC6P2	X	-	pseudo
389903	CSAG3	X	CSAG3A|CT24.2	protein-coding
389906	LOC389906	X	-	pseudo
389932	AKR1C6P	10	TAKR	pseudo
389935	PRPF38AP1	10	-	pseudo
389941	C1QL3	10	C1QTNF13|C1ql|CTRP13|K100	protein-coding
389948	MKNK2P1	10	-	pseudo
389970	GAPDHP21	10	-	pseudo
389976	ACTBP14	10	-	pseudo
389990	RPA2P2	10	-	pseudo
389992	RPL7P34	10	RPL7_14_1078	pseudo
389997	NIP7P1	10	-	pseudo
390003	GUCY2GP	10	GUCY2G	pseudo
390006	PPIAP19	10	bA108K1.2	pseudo
390007	TOMM22P5	10	-	pseudo
390010	NKX1-2	10	C10orf121|NKX-1.1|bB238F13.2	protein-coding
390012	OR6L1P	10	-	pseudo
390028	OR4F2P	11	HS191N21|OR4F2|S191N21|hs6M1-11	pseudo
390029	LOC390029	11	-	pseudo
390030	OR55B1P	11	OR55B2P|OR55C1P	pseudo
390031	SSU72P2	11	-	pseudo
390033	SSU72P7	11	-	pseudo
390034	OR51R1P	11	-	pseudo
390035	OR52K3P	11	-	pseudo
390036	OR52K1	11	OR11-8	protein-coding
390037	OR52I1	11	OR11-13	protein-coding
390038	OR51D1	11	OR11-14|OR51D1Q	protein-coding
390039	OR51A9P	11	-	pseudo
390040	OR51F5P	11	-	pseudo
390041	OR51C4P	11	-	pseudo
390043	OR51F3P	11	-	pseudo
390044	OR51F4P	11	-	pseudo
390046	OR51A6P	11	-	pseudo
390053	OR52A4P	11	OR52A4	pseudo
390054	OR52A5	11	OR11-33	protein-coding
390058	OR51B6	11	HOR5'Beta6	protein-coding
390059	OR51M1	11	HOR5'Beta7|OR11-40	protein-coding
390061	OR51Q1	11	-	protein-coding
390063	OR51I1	11	-	protein-coding
390064	OR51I2	11	OR11-38	protein-coding
390066	OR52D1	11	OR11-43	protein-coding
390067	OR52H1	11	OR11-41|OR11-45	protein-coding
390072	OR52N4	11	OR11-64	protein-coding
390073	OR56B2P	11	OR11-63|OR56B2	pseudo
390075	OR52N5	11	OR11-62|OR52N5Q	protein-coding
390077	OR52N2	11	OR11-57	protein-coding
390078	OR52E6	11	OR11-58	protein-coding
390079	OR52E8	11	OR11-54	protein-coding
390081	OR52E4	11	OR11-55	protein-coding
390082	OR52E5	11	OR11-56	pseudo
390083	OR56A3	11	OR56A2P|OR56A3P|OR56A6	protein-coding
390084	OR56A5	11	OR56A5P	protein-coding
390091	OR10AB1P	11	-	pseudo
390093	OR10A6	11	OR11-96	protein-coding
390098	LOC390098	11	-	pseudo
390099	LOC390099	11	-	pseudo
390101	LOC390101	11	-	pseudo
390102	PCNAP4	11	-	pseudo
390107	RPS24P15	11	RPS24_5_1135	pseudo
390110	ACCSL	11	-	protein-coding
390113	OR4X1	11	OR11-104	protein-coding
390116	OR4A40P	11	-	pseudo
390117	OR4A43P	11	-	pseudo
390131	OR4A6P	11	-	pseudo
390133	OR4A2P	11	-	pseudo
390134	OR4A4P	11	OR4A4	pseudo
390136	OR4A11P	11	-	pseudo
390137	OR4A9P	11	-	pseudo
390138	OR4A10P	11	OR4A25P	pseudo
390139	OR4A17P	11	OR4A22P	pseudo
390142	OR5D13	11	-	protein-coding
390144	OR5D16	11	OR11-154	protein-coding
390148	OR5W2	11	OR5W2P|OR5W3P	protein-coding
390151	OR8H2	11	OR11-171	protein-coding
390152	OR8H3	11	OR11-172	protein-coding
390154	OR5T3	11	OR11-178|OR5T3Q	protein-coding
390155	OR5T1	11	OR11-179|OR5T1P	protein-coding
390157	OR8K1	11	OR11-182|OR8N1P	protein-coding
390158	RPL5P29	11	RPL5_15_1144	pseudo
390162	OR5M9	11	OR11-190	protein-coding
390166	OR5M5P	11	-	pseudo
390167	OR5M10	11	OR11-207	protein-coding
390168	OR5M1	11	OR11-208|OST050	protein-coding
390174	OR9G1	11	OR9G5	protein-coding
390181	OR5AK2	11	-	protein-coding
390183	RPS4XP13	11	RPS4P13|RPS4X_3_1145	pseudo
390186	OR5B10P	11	OR13-34|OR13-64|OR13-67|OR5B10|OR5B11|OR5B11P|OR5B18P|OR5B4P	pseudo
390190	OR5B2	11	OR11-240|OST073	protein-coding
390191	OR5B12	11	OR11-241|OR5B12P|OR5B16|OST743	protein-coding
390195	OR5AN1	11	OR11-244	protein-coding
390197	OR4D10	11	OR11-251|OR4D10P|OST711	protein-coding
390199	OR4D9	11	OR11-253	protein-coding
390201	OR10V1	11	OR11-256	protein-coding
390203	SRD5A3P1	11	-	pseudo
390205	LRRC10B	11	-	protein-coding
390206	RPS2P37	11	RPS2_14_1147	pseudo
390211	KRT8P26	11	-	pseudo
390212	GPR152	11	PGR5	protein-coding
390213	DOC2GP	11	-	pseudo
390215	OR7E145P	11	-	pseudo
390218	IFITM9P	11	-	pseudo
390221	FOLR1P1	11	FOLR1P|KB-1	pseudo
390224	OR2AT2P	11	-	pseudo
390225	OR2AT1P	11	-	pseudo
390226	GUCY2EP	11	GC-E|GCD|GUCY2E	pseudo
390228	RPL7AP54	11	RPL7A_22_1161	pseudo
390231	TRIM77	11	TRIM77P	protein-coding
390233	TRIM64FP	2	-	pseudo
390239	NDUFB11P1	11	NDUFB11P	pseudo
390243	IZUMO1R	11	FOLR4|Folbp3|JUNO	protein-coding
390245	KDM4E	11	JMJD2E|KDM4DL|KDM5E	protein-coding
390250	LOC390250	11	-	pseudo
390251	LOC390251	11	-	pseudo
390255	LOC390255	11	-	pseudo
390259	BSX	11	BSX1	protein-coding
390260	OR6X1	11	OR11-270	protein-coding
390261	OR6M1	11	OR11-271	protein-coding
390264	OR10G4	11	OR11-278	protein-coding
390265	OR10G7	11	OR11-283	protein-coding
390266	OR10D4P	11	OR10D4|OR10D6P	pseudo
390267	OR10N1P	11	-	pseudo
390269	OR8F1P	11	-	pseudo
390271	OR8B3	11	OR11-311	protein-coding
390273	OR8A2P	11	-	pseudo
390274	OR8B10P	11	-	pseudo
390275	OR8A1	11	OR11-318|OST025	protein-coding
390282	LOC390282	12	-	pseudo
390283	RPL31P10	12	RPL31_15_1198	pseudo
390284	SRP14P1	12	-	pseudo
390288	OR7E84P	4	OR7E54P|OST185	pseudo
390294	HNRNPABP1	12	-	pseudo
390297	PSMC1P8	12	-	pseudo
390298	TIMM17BP1	12	-	pseudo
390301	ST13P9	12	-	pseudo
390306	LOC390306	12	-	pseudo
390308	LOC390308	12	-	pseudo
390311	PHBP18	12	-	pseudo
390313	OR5BS1P	12	OR5BS1	pseudo
390314	LOC390314	12	-	pseudo
390318	OR10U1P	12	-	pseudo
390320	OR6C5P	12	-	pseudo
390321	OR6C1	12	OST267	protein-coding
390322	OR6C7P	12	-	pseudo
390323	OR6C75	12	-	protein-coding
390324	OR6C71P	12	-	pseudo
390326	OR6C76	12	-	protein-coding
390327	OR6C70	12	-	protein-coding
390329	OR6U2P	12	OR6U1P	pseudo
390332	LOC390332	12	-	pseudo
390340	PDCL3P7	12	-	pseudo
390345	RPL10P13	12	-	pseudo
390352	EEF1A1P33	12	-	pseudo
390354	RPL18AP3	12	RPL18A_6_1273|bcm182	pseudo
390358	LOC390358	12	-	pseudo
390363	CLIC1P1	12	-	pseudo
390378	PPIAP28	13	-	pseudo
390394	EIF4A1P5	13	-	pseudo
390402	AKR1B1P4	13	ALDRL4	pseudo
390403	FAM206BP	13	-	pseudo
390407	EIF4A1P6	13	-	pseudo
390411	NPM1P22	13	-	pseudo
390413	RPL7P44	13	RPL7_17_1325	pseudo
390415	CCT5P2	13	CCT5-P1	pseudo
390418	KRT18P27	13	-	pseudo
390419	PPIAP23	13	-	pseudo
390421	GAPDHP22	13	-	pseudo
390423	ARF4P3	13	-	pseudo
390424	ATP5G1P5	13	-	pseudo
390429	OR4N2	14	OR14-13|OR14-8	protein-coding
390431	OR4K2	14	OR14-15	protein-coding
390432	OR4Q2	14	OR4Q2P	protein-coding
390433	OR4K13	14	OR14-27	protein-coding
390434	OR4U1P	14	OR14-23	pseudo
390435	OR4T1P	14	-	pseudo
390436	OR4K17	14	OR14-29	protein-coding
390437	OR4N5	14	-	protein-coding
390438	OR11G1P	14	-	pseudo
390439	OR11G2	14	OR14-34	protein-coding
390440	OR11H5P	14	-	pseudo
390441	OR11H7	14	OR11H7P	protein-coding
390442	OR11H4	14	OR14-36	protein-coding
390443	RNASE9	14	HEL128|RAK1|h461	protein-coding
390445	OR5AU1	14	OR14-38	protein-coding
390472	KRT8P2	14	-	pseudo
390482	AKR1B1P5	14	AKR1B1P	pseudo
390483	SALL4P7	14	-	pseudo
390501	MPPE1P1	14	MPPE1P	pseudo
390502	SERPINA2	14	ARGS|ATR|PIL|SERPINA2P|psiATR	protein-coding
390503	ADIPOR1P2	14	-	pseudo
390530	IGHV1OR21-1	21	-	pseudo
390531	IGHV1OR15-9	15	IGHV1OR159|VSIG7	pseudo
390535	GOLGA8EP	15	GOLGA8E	pseudo
390538	OR4M2	15	OR15-3	protein-coding
390539	OR4N3P	15	OR15-2	pseudo
390560	DNM1DN4-1	15	DNM1DN4.1	other
390561	HERC2P10	15	-	pseudo
390572	PRELID1P4	15	-	pseudo
390576	RPS15P8	15	RPS15_4_1425	pseudo
390578	RPLP0P10	15	RPLP0_5_1426	pseudo
390581	ATP5HP1	15	HsT18164	pseudo
390586	LOC390586	15	-	pseudo
390594	KBTBD13	15	HCG1645727|NEM6	protein-coding
390595	UBAP1L	15	UBAP-1L	protein-coding
390597	LETM1P1	15	-	pseudo
390598	SKOR1	15	CORL1|FUSSEL15|LBXCOR1	protein-coding
390600	LOC390600	15	-	pseudo
390601	KRT8P9	15	-	pseudo
390610	KRT8P23	15	-	pseudo
390612	RPL18P11	15	RPL18_4_1455	pseudo
390614	LOC390614	15	-	pseudo
390616	ANKRD34C	15	-	protein-coding
390617	LOC390617	15	-	pseudo
390618	LOC390618	15	-	pseudo
390627	CSPG4P10	15	-	pseudo
390634	KRT18P47	15	-	pseudo
390637	GDPGP1	15	C15orf58|VTC2	protein-coding
390638	LOC390638	15	-	pseudo
390643	PGAM1P12	15	-	pseudo
390648	OR4F6	15	OR15-15|OR4F12	protein-coding
390649	OR4F15	15	-	protein-coding
390650	OR4F14P	15	OR4F14	pseudo
390651	OR4F13P	15	GPCRLTM7	pseudo
390652	OR4F28P	15	-	pseudo
390660	ADAMTS7P1	15	ADAMTS7P2	pseudo
390664	C1QTNF8	16	CTRP8|UNQ5829	protein-coding
390667	PTX4	16	C16orf38	protein-coding
390671	RPL18P12	16	RPL18_8_1468	pseudo
390688	CDC37P1	16	A-761H5.2	pseudo
390705	LOC390705	16	-	pseudo
390714	LOC390714	16	-	other
390729	RPL10P14	16	-	pseudo
390730	PHBP21	16	-	pseudo
390732	CES1P2	16	-	pseudo
390735	RPS15AP34	16	RPS15A_22_1489	pseudo
390739	LOC390739	16	-	pseudo
390748	PABPN1L	16	PABPNL1|ePABP2	protein-coding
390756	OR3A4P	17	OLFRA05|OLFRA06|OR17-13|OR17-16|OR17-24|OR17-25|OR24|OR25|OR3A4|OR3A5P	pseudo
390766	RNASEH1P2	17	-	pseudo
390788	CCL3P1	17	CCL3L2|G0S19-3|LD78gamma|SCYA3L2	pseudo
390790	ARL5C	17	ARL12	protein-coding
390791	LOC390791	17	-	pseudo
390792	KRT39	17	CK-39|K39|KA35	protein-coding
390800	RPL7L1P5	17	-	pseudo
390806	LOC390806	17	-	pseudo
390811	POLR3KP2	17	-	pseudo
390816	THA1P	17	GLY1	pseudo
390831	PMM2P1	18	-	pseudo
390834	FEM1AP2	18	-	pseudo
390836	OR4K8P	18	OR18-1|OR4K9P	pseudo
390843	EIF4A3P1	18	-	pseudo
390844	ARIH2P1	18	ARIH2P	pseudo
390846	LOC390846	18	-	pseudo
390848	RPS15AP35	18	RPS15A_23_1592	pseudo
390856	RPL29P32	18	RPL29_21_1603	pseudo
390857	RPSAP57	18	RPSA_29_1604	pseudo
390858	OACYLP	18	ACYL3P	pseudo
390860	LOC390860	18	-	pseudo
390872	OR4F8P	19	OR4F20P|OR4F9P	pseudo
390874	ONECUT3	19	OC3	protein-coding
390876	LOC390876	19	-	pseudo
390877	LOC390877	19	-	protein-coding
390882	OR7G2	19	OR19-6|OST260	protein-coding
390883	OR7G3	19	OST085	protein-coding
390885	OR7E18P	19	HSTPCR26P|OR19-14|OR7E61|OR7E98P|TPCR26	pseudo
390886	OR7H1P	19	OR7H1	pseudo
390892	OR7A10	19	BC85395_3|OR19-18	protein-coding
390894	OR7A2P	19	OLF4p|OR19-18|OR7A2|OR7A7|hg1003	pseudo
390895	OR7A1P	19	OLF4p|OR19-3|OR7A6P|hg513	pseudo
390904	KRT18P40	19	-	pseudo
390916	NUDT19	19	RP2	protein-coding
390924	EEF1A1P7	19	EEF1AL5	pseudo
390927	ZNF793	19	-	protein-coding
390928	ACP7	19	PAPL|PAPL1	protein-coding
390933	LOC390933	19	-	pseudo
390937	LOC390937	19	-	protein-coding
390940	PINLYP	19	-	protein-coding
390948	HNRNPMP2	19	-	pseudo
390949	RPL23AP80	19	RPL23A_35_1661	pseudo
390956	LOC390956	19	-	pseudo
390963	ZNF818P	19	ZNF818	pseudo
390980	ZNF805	19	-	protein-coding
390992	HES3	1	bHLHb43	protein-coding
390993	RPL7AP18	1	RPL7A_1_5	pseudo
390996	CFL1P6	1	CFLP6	pseudo
390997	LOC390997	1	-	pseudo
390998	RPL10P17	1	-	pseudo
390999	PRAMEF12	1	-	protein-coding
391002	PRAMEF8	1	PRAMEF24	protein-coding
391003	PRAMEF18	1	-	protein-coding
391004	PRAMEF17	1	-	protein-coding
391012	DYNLL1P3	1	-	pseudo
391013	PLA2G2C	1	-	protein-coding
391019	RPL29P6	1	RPL29_1_20	pseudo
391020	LOC391020	1	-	pseudo
391026	ACTN4P2	1	-	pseudo
391033	MKRN8P	1	MKRNP4|ZNF127L4	pseudo
391037	SKINT1L	1	BTN12|SKINT1|SKINTL|SKINTP	pseudo
391039	CFL1P2	1	CFLL2|CFLP2	pseudo
391040	BTF3L4P3	6	-	pseudo
391044	PHBP3	1	-	pseudo
391045	SLC2A3P2	1	-	pseudo
391048	LOC391048	1	-	pseudo
391051	UOX	1	UOXP|URICASE	pseudo
391053	CAPNS1P1	1	-	pseudo
391059	FRRS1	1	SDFR2|SDR2	protein-coding
391069	GAPDHP64	1	GAPDHL9|GAPDL9	pseudo
391073	GAPDHP74	1	-	pseudo
391075	GAPDHP23	1	-	pseudo
391076	HSD3BP1	1	-	pseudo
391077	GAPDHP58	1	GAPDHL1|GAPDL1	pseudo
391081	HSD3BP5	1	-	pseudo
391092	LOC391092	1	-	pseudo
391099	KRT8P28	1	-	pseudo
391102	RPLP0P4	1	RPLP0_1_100	pseudo
391104	VHLL	1	VHLP|VLP	protein-coding
391106	VDAC1P9	1	-	pseudo
391107	OR10K2	1	OR1-4	protein-coding
391109	OR10K1	1	OR1-6	protein-coding
391110	OR10R3P	1	OR1-9	pseudo
391112	OR6Y1	1	OR1-11|OR6Y2	protein-coding
391114	OR6K3	1	OR1-18	protein-coding
391115	OR6K5P	1	-	pseudo
391117	OR10J2P	1	-	pseudo
391119	OR10J7P	1	-	pseudo
391120	OR10J9P	1	-	pseudo
391121	OR10J4	1	OR10J4P|OST717	protein-coding
391123	VSIG8	1	-	protein-coding
391124	RPL27AP2	1	RPL27A_1_106	pseudo
391126	RPL26P12	1	RPL26_4_113	pseudo
391130	RPS17P6	1	RPS17_1_116	pseudo
391135	RPL4P3	1	RPL4_1_122	pseudo
391136	LOC391136	1	-	pseudo
391137	RPS15P3	1	RPS15_2_123	pseudo
391139	GOT2P2	1	GOT2L2	pseudo
391140	RPL13P7	1	RPL13_1_131	pseudo
391151	RPL10P4	1	-	pseudo
391155	KRT8P29	1	-	pseudo
391158	TFDP1P	1	-	pseudo
391160	ARPC3P2	1	-	pseudo
391162	GAPDHP24	1	-	pseudo
391165	RPS26P17	1	RPS26_2_165	pseudo
391168	RPS3AP7	1	RPS3A_5_169	pseudo
391169	CDKN2AIPNLP1	1	-	pseudo
391171	TUBB8P10	1	-	pseudo
391174	FAM96AP2	1	-	pseudo
391175	RPL23AP15	1	RPL23A_4_173	pseudo
391179	KRT18P32	1	-	pseudo
391181	RPL6P3	1	RPL6_2_187	pseudo
391183	RSL24D1P4	1	RSL24D1P19	pseudo
391189	OR11L1	1	-	protein-coding
391190	OR2L8	1	-	protein-coding
391191	OR2AK2	1	OR1-47|OR2AK1P	protein-coding
391192	OR2L3	1	-	protein-coding
391194	OR2M2	1	OR2M2Q|OST423	protein-coding
391195	OR2T33	1	OR1-56	protein-coding
391196	OR2M7	1	OR1-58	protein-coding
391211	OR2G6	1	-	protein-coding
391239	LOC391239	20	-	pseudo
391242	PUDPP3	20	HDHD1DP|HDHD1P3	pseudo
391247	LOC391247	20	-	pseudo
391253	SPINT4	20	C20orf137|SPINT3|dJ601O1.1	protein-coding
391256	KRT18P4	20	dJ963K23.1	pseudo
391257	SUMO1P1	20	PIC1L|UBL2|UBL6	pseudo
391266	CNN2P7	21	-	pseudo
391267	ANKRD20A11P	21	C21orf81	pseudo
391269	ANKRD20A18P	21	C21orf126	pseudo
391276	THUMPD1P1	21	-	pseudo
391279	OR7E23P	21	OR21-1|OR21-3|OR7E92P	pseudo
391282	RPL23AP12	21	RPL23A_41_1732	pseudo
391322	LOC391322	22	-	protein-coding
391334	LOC391334	22	-	pseudo
391349	PIK3CDP1	2	-	pseudo
391356	PTRHD1	2	C2orf79	protein-coding
391358	TRMT112P6	2	-	pseudo
391359	LOC391359	2	-	pseudo
391365	SULT6B1	2	-	protein-coding
391367	GAPDHP25	2	-	pseudo
391370	RPS12P4	2	RPS12_1_210	pseudo
391378	HNRNPA1P66	2	-	pseudo
391383	LOC391383	2	-	pseudo
391387	RPSAP28	2	RPSA_4_242	pseudo
391428	SEPHS1P7	2	-	pseudo
391436	MED15P5	2	-	pseudo
391448	LOC391448	2	-	pseudo
391458	KRT18P46	2	-	pseudo
391462	RPSAP24	2	RPSA_6_295	pseudo
391465	LOC391465	2	-	pseudo
391467	IMPDH1P7	2	-	pseudo
391470	AHCYP5	2	-	pseudo
391472	BICD1P1	2	-	pseudo
391475	DYTN	2	-	protein-coding
391485	KRT8P30	2	-	pseudo
391490	RPL23AP26	2	RPL23A_14_334	pseudo
391491	GAMTP1	2	GAMTP	pseudo
391496	OR5S1P	2	-	pseudo
391504	RPL23AP38	3	RPL23A_11_340	pseudo
391508	PGAM1P4	3	-	pseudo
391518	VENTXP7	3	HPX42|VENTX1	pseudo
391524	THRAP3P1	3	THRAP3L	pseudo
391526	IGBP1P3	3	-	pseudo
391530	SALL4P6	3	-	pseudo
391532	LOC391532	15	-	pseudo
391533	FLT1P1	3	-	pseudo
391538	ALDOAP1	3	-	pseudo
391539	RPS25P4	3	RPS25_2_371	pseudo
391548	OR7E55P	3	OR2DG|OR3.2|OR7E56P|OR7E57P|OST007|OST013	pseudo
391552	AGGF1P3	3	-	pseudo
391556	LOC391556	3	-	pseudo
391559	VTI1BP1	3	-	pseudo
391560	RPL32P7	3	RPL32_1_390	pseudo
391562	LOC391562	3	-	pseudo
391566	LOC391566	3	-	pseudo
391576	OR7E129P	3	-	pseudo
391578	LOC391578	3	-	pseudo
391581	RPL31P23	3	RPL31_5_407	pseudo
391584	KRT18P35	3	-	pseudo
391587	LOC391587	3	-	pseudo
391589	KRT18P34	3	-	pseudo
391592	BZW1P1	3	-	pseudo
